kingdom	phylum	class	order	family	genus	MeanRelAbund	niche_breadth	category	colorcode
Bacteria	Actinobacteria	WCHB1-81	Actinobacteria bacterium RBG_19FT_COMBO_36_27	Actinobacteria bacterium RBG_19FT_COMBO_36_27	Actinobacteria bacterium RBG_19FT_COMBO_36_27	-2.381792308	2.177542716	medium	Other
Bacteria	Actinobacteria	Acidimicrobiia	Actinomarinales	uncultured	uncultured Actinobacteridae bacterium	-4.250359055	3.082191781	medium	Other
Bacteria	Chloroflexi	Anaerolineae	ADurb.Bin180	metagenome	metagenome	-3.653819673	1.529779712	medium	Other
Bacteria	Chloroflexi	Anaerolineae	ADurb.Bin180	unclassified_ADurb.Bin180	unclassified_ADurb.Bin180	-3.79997405	2.083333333	medium	Other
Bacteria	Chloroflexi	Anaerolineae	ADurb.Bin180	uncultured Chloroflexi bacterium	uncultured Chloroflexi bacterium	-4.646828877	2.571428571	medium	Other
Bacteria	Acidobacteria	Aminicenantia	Aminicenantales	unclassified_Aminicenantales	unclassified_Aminicenantales	-4.19290366	1.967479675	medium	Other
Bacteria	Acidobacteria	Aminicenantia	Aminicenantales	uncultured soil bacterium	uncultured soil bacterium	-2.086238757	2.198217039	medium	Other
Bacteria	Acidobacteria	Aminicenantia	Aminicenantales	uncultured prokaryote	uncultured prokaryote	-4.144599449	2.469387755	medium	Other
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	unclassified_Anaerolineaceae	-2.402478443	2.225364676	medium	Other
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Pelolinea	-4.429734384	2.482758621	medium	Other
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	RBG-16-58-14	-4.288708108	2.964912281	medium	Other
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Longilinea	-4.02382909	3.226666667	medium	Other
Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Anaerolineaceae UCG-001	-3.475787956	3.312	medium	Other
Bacteria	Verrucomicrobia	Verrucomicrobiae	B29	uncultured bacterium	uncultured bacterium	-4.720591482	1.60952381	medium	Other
Bacteria	Dependentiae	Babeliae	Babeliales	UBA12411	unclassified_UBA12411	-3.782667998	1.539178082	medium	Other
Bacteria	Dependentiae	Babeliae	Babeliales	UBA12411	uncultured deep-sea bacterium	-4.627166394	1.96	medium	Other
Bacteria	Dependentiae	Babeliae	Babeliales	Babeliaceae	candidate division TM6 bacterium GW2011_GWE2_41_16	-4.254129116	2.372197309	medium	Other
Bacteria	Dependentiae	Babeliae	Babeliales	candidate division TM6 bacterium GW2011_GWF2_37_49	candidate division TM6 bacterium GW2011_GWF2_37_49	-3.581865275	2.727530747	medium	Other
Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	unclassified_Vermiphilaceae	-3.959227545	3.04137931	medium	Other
Bacteria	Dependentiae	Babeliae	Babeliales	unclassified_Babeliales	unclassified_Babeliales	-3.343773267	3.336652624	medium	Other
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	unclassified_Bacillaceae	-3.374521058	2.018439305	medium	Other
Bacteria	Chloroflexi	KD4-96	bacterium Ellin6529	bacterium Ellin6529	bacterium Ellin6529	-4.118649355	1.530612245	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	FTLpost3	uncultured Bacteroidetes bacterium	-4.554198496	1.470588235	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	unclassified_Bacteroidales	unclassified_Bacteroidales	-2.237093775	1.555858288	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinifilaceae	uncultured	-4.233224047	1.6	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes vadinHA17	uncultured eubacterium WCHB1-53	-4.403133721	1.657534247	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	SB-5	unclassified_SB-5	-3.32167801	1.702356793	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Paludibacteraceae	Paludibacter	-2.665927263	2.02910849	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	LKC2.127-25	uncultured bacterium	-3.665833291	2.213510848	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes vadinHA17	uncultured Geobacter sp.	-3.839055931	2.300840336	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes vadinHA17	uncultured Sphingobacteriia bacterium	-3.800027782	2.32534105	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	WCHB1-32	-4.496187858	2.882352941	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes vadinHA17	uncultured microorganism	-4.209373665	3	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	uncultured	-2.108640261	3.217014529	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes BD2-2	Bacteroidetes bacterium GWF2_49_14	-2.464034754	3.220616968	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidetes vadinHA17	uncultured Prolixibacter sp.	-4.291930867	3.31372549	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	uncultured	-3.065798504	3.347215554	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidetes VC2.1 Bac22	sediment metagenome	sediment metagenome	-3.119112117	1.43075193	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidetes VC2.1 Bac22	unclassified_Bacteroidetes VC2.1 Bac22	unclassified_Bacteroidetes VC2.1 Bac22	-3.838895926	2.002502085	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidetes VC2.1 Bac22	uncultured bacterium GR-WP33-68	uncultured bacterium GR-WP33-68	-3.228009828	2.156772199	medium	Other
Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Peredibacter	-4.560144241	1.470588235	medium	Other
Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	uncultured	-4.11338881	1.555555556	medium	Other
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Rhodoferax	-4.561821217	1.37398374	specialist	Other
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	unclassified_Burkholderiaceae	-3.82724866	1.433703799	medium	Other
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	unclassified_Betaproteobacteriales	unclassified_Betaproteobacteriales	-3.252142761	1.659373579	medium	Other
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Polynucleobacter	-4.230474005	1.714768884	medium	Other
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	-4.265930828	1.905882353	medium	Other
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Neisseriaceae	Neisseria	-4.083643888	1.952748312	medium	Other
Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Herbaspirillum	-3.058265682	2.19133913	medium	Other
Bacteria	Caldiserica	Caldisericia	Caldisericales	WCHB1-02	uncultured Firmicutes bacterium	-4.178254054	2.219178082	medium	Other
Bacteria	Caldiserica	Caldisericia	Caldisericales	WCHB1-02	uncultured eubacterium WCHB1-02	-3.966266161	3.298642534	medium	Other
Bacteria	Calditrichaeota	Calditrichia	Calditrichales	Calditrichaceae	uncultured Sulfuricurvum sp.	-4.48118688	2.172932331	medium	Other
Bacteria	Calditrichaeota	Calditrichia	Calditrichales	Calditrichaceae	uncultured Caldithrix sp.	-4.289620471	2.322580645	medium	Other
Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Sulfurovaceae	Sulfurovum	-2.270211312	2.118543733	medium	Other
Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Thiovulaceae	Sulfuricurvum	-2.232755407	2.223645368	medium	Other
Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Arcobacteraceae	Arcobacter	-4.387009559	3.102564103	medium	Other
Bacteria	Epsilonbacteraeota	Campylobacteria	Campylobacterales	Thiovulaceae	Sulfurimonas	-1.589179273	3.226062774	medium	Other
Bacteria	WOR-1	candidate division WOR-1 bacterium RIFCSPHIGHO2_01_FULL_53_15	candidate division WOR-1 bacterium RIFCSPHIGHO2_01_FULL_53_15	candidate division WOR-1 bacterium RIFCSPHIGHO2_01_FULL_53_15	candidate division WOR-1 bacterium RIFCSPHIGHO2_01_FULL_53_15	-4.089424295	3.205128205	medium	Other
Bacteria	WOR-1	candidate division WOR-1 bacterium RIFOXYA12_FULL_43_27	candidate division WOR-1 bacterium RIFOXYA12_FULL_43_27	candidate division WOR-1 bacterium RIFOXYA12_FULL_43_27	candidate division WOR-1 bacterium RIFOXYA12_FULL_43_27	-3.612314389	1.940831296	medium	Other
Bacteria	Patescibacteria	Berkelbacteria	candidate division WS2 bacterium ADurb.Bin280	candidate division WS2 bacterium ADurb.Bin280	candidate division WS2 bacterium ADurb.Bin280	-3.761226955	2.544674407	medium	Other
Bacteria	Atribacteria	JS1	Candidatus Atribacteria bacterium RBG_16_35_8	Candidatus Atribacteria bacterium RBG_16_35_8	Candidatus Atribacteria bacterium RBG_16_35_8	-2.652230973	2.731112746	medium	Other
Bacteria	Patescibacteria	Berkelbacteria	Candidatus Berkelbacteria bacterium RIFOXYA2_FULL_43_10	Candidatus Berkelbacteria bacterium RIFOXYA2_FULL_43_10	Candidatus Berkelbacteria bacterium RIFOXYA2_FULL_43_10	-3.287187365	3.146359676	medium	Other
Bacteria	Patescibacteria	ABY1	Candidatus Buchananbacteria	unclassified_Candidatus Buchananbacteria	unclassified_Candidatus Buchananbacteria	-4.463489289	1.8	medium	Other
Bacteria	Patescibacteria	Parcubacteria	Candidatus Campbellbacteria	Candidatus Campbellbacteria bacterium RIFOXYC2_FULL_35_25	Candidatus Campbellbacteria bacterium RIFOXYC2_FULL_35_25	-4.673376735	1.781818182	medium	Other
Bacteria	Patescibacteria	ABY1	Candidatus Falkowbacteria	Candidatus Falkowbacteria bacterium RIFOXYD2_FULL_34_120	Candidatus Falkowbacteria bacterium RIFOXYD2_FULL_34_120	-4.32797725	1.931428571	medium	Other
Bacteria	Patescibacteria	ABY1	Candidatus Falkowbacteria	uncultured soil bacterium	uncultured soil bacterium	-4.219855757	3.085470085	medium	Other
Bacteria	Patescibacteria	ABY1	Candidatus Kerfeldbacteria	Parcubacteria group bacterium ADurb.Bin326	Parcubacteria group bacterium ADurb.Bin326	-5.163288104	1.923076923	medium	Other
Bacteria	Patescibacteria	ABY1	Candidatus Kerfeldbacteria	uncultured bacterium	uncultured bacterium	-4.182543026	2.888	medium	Other
Bacteria	Patescibacteria	ABY1	Candidatus Komeilibacteria	marine metagenome	marine metagenome	-4.552533961	2.571428571	medium	Other
Archaea	Diapherotrites	Micrarchaeia	Candidatus Micrarchaeota archaeon CG1_02_55_41	Candidatus Micrarchaeota archaeon CG1_02_55_41	Candidatus Micrarchaeota archaeon CG1_02_55_41	-3.692668277	2.649417853	medium	Other
Bacteria	Patescibacteria	Parcubacteria	Candidatus Moranbacteria	uncultured soil bacterium	uncultured soil bacterium	-4.762955975	1.384615385	specialist	Other
Bacteria	Patescibacteria	Parcubacteria	Candidatus Moranbacteria	unclassified_Candidatus Moranbacteria	unclassified_Candidatus Moranbacteria	-1.437394352	1.411164754	medium	Other
Bacteria	Patescibacteria	Parcubacteria	Candidatus Nealsonbacteria	unclassified_Candidatus Nealsonbacteria	unclassified_Candidatus Nealsonbacteria	-3.702012659	1.941362916	medium	Other
Bacteria	Patescibacteria	Parcubacteria	Candidatus Nomurabacteria	uncultured Parcubacteria group bacterium	uncultured Parcubacteria group bacterium	-4.937506107	1.8	medium	Other
Bacteria	Omnitrophicaeota	Candidatus Omnitrophus magneticus	Candidatus Omnitrophus magneticus	Candidatus Omnitrophus magneticus	Candidatus Omnitrophus magneticus	-4.523851556	2.461538462	medium	Other
Archaea	Nanoarchaeaeota	Woesearchaeia	Candidatus Pacearchaeota archaeon RBG_19FT_COMBO_34_9	Candidatus Pacearchaeota archaeon RBG_19FT_COMBO_34_9	Candidatus Pacearchaeota archaeon RBG_19FT_COMBO_34_9	-3.055770761	3.020619647	medium	Other
Bacteria	Patescibacteria	Gracilibacteria	Candidatus Peregrinibacteria	Candidatus Peregrinibacteria bacterium RIFCSPLOWO2_01_FULL_48_20	Candidatus Peregrinibacteria bacterium RIFCSPLOWO2_01_FULL_48_20	-4.821749363	1.923076923	medium	Other
Bacteria	Patescibacteria	Gracilibacteria	Candidatus Peregrinibacteria	Candidatus Peregrinibacteria bacterium GW2011_GWF2_39_17	Candidatus Peregrinibacteria bacterium GW2011_GWF2_39_17	-4.737785629	2.272727273	medium	Other
Bacteria	Patescibacteria	Gracilibacteria	Candidatus Peregrinibacteria	Candidatus Peregrinibacteria bacterium RIFOXYB2_FULL_41_88	Candidatus Peregrinibacteria bacterium RIFOXYB2_FULL_41_88	-3.982277997	2.861740167	medium	Other
Bacteria	Patescibacteria	Microgenomatia	Candidatus Shapirobacteria	unclassified_Candidatus Shapirobacteria	unclassified_Candidatus Shapirobacteria	-3.616817893	3.316803081	medium	Other
Bacteria	Patescibacteria	Parcubacteria	Candidatus Staskawiczbacteria	unclassified_Candidatus Staskawiczbacteria	unclassified_Candidatus Staskawiczbacteria	-2.85816861	1.839737454	medium	Other
Bacteria	Patescibacteria	Parcubacteria	Candidatus Staskawiczbacteria	Parcubacteria group bacterium GW2011_GWC2_32_10	Parcubacteria group bacterium GW2011_GWC2_32_10	-3.501322904	2.338801889	medium	Other
Bacteria	Patescibacteria	Parcubacteria	Candidatus Staskawiczbacteria	uncultured bacterium	uncultured bacterium	-2.950114179	2.604042942	medium	Other
Bacteria	Patescibacteria	Parcubacteria	Candidatus Staskawiczbacteria	Candidatus Staskawiczbacteria bacterium RIFOXYD1_FULL_37_73	Candidatus Staskawiczbacteria bacterium RIFOXYD1_FULL_37_73	-3.918754677	2.619937695	medium	Other
Archaea	Nanoarchaeaeota	Woesearchaeia	Candidatus Staskawiczbacteria bacterium RIFCSPHIGHO2_01_FULL_34_27	Candidatus Staskawiczbacteria bacterium RIFCSPHIGHO2_01_FULL_34_27	Candidatus Staskawiczbacteria bacterium RIFCSPHIGHO2_01_FULL_34_27	-3.709799074	3.202964652	medium	Other
Archaea	Nanoarchaeaeota	Woesearchaeia	Candidatus Staskawiczbacteria bacterium RIFOXYA2_FULL_32_7	Candidatus Staskawiczbacteria bacterium RIFOXYA2_FULL_32_7	Candidatus Staskawiczbacteria bacterium RIFOXYA2_FULL_32_7	-3.00700729	2.358736525	medium	Other
Bacteria	Patescibacteria	ABY1	Candidatus Uhrbacteria	Candidatus Uhrbacteria bacterium GW2011_GWF2_41_40	Candidatus Uhrbacteria bacterium GW2011_GWF2_41_40	-4.873595262	2.272727273	medium	Other
Bacteria	Patescibacteria	ABY1	Candidatus Uhrbacteria	unclassified_Candidatus Uhrbacteria	unclassified_Candidatus Uhrbacteria	-4.716081584	2.777777778	medium	Other
Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	-3.955152581	2.156299841	medium	Other
Bacteria	Patescibacteria	Parcubacteria	CG1-02-40-25	uncultured bacterium	uncultured bacterium	-4.656334879	2.777777778	medium	Other
Bacteria	Patescibacteria	Parcubacteria	CG1-02-42-13	Parcubacteria group bacterium CG1_02_42_13	Parcubacteria group bacterium CG1_02_42_13	-2.551944402	3.095496774	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	Sediminibacterium	-4.074888515	1.989085948	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Candidatus Aquirestis	-3.602388561	3.230979321	medium	Other
Bacteria	Bacteroidetes	Chlorobia	Chlorobiales	Chlorobiaceae	Chlorobium	-0.703650376	1.44297669	medium	Other
Bacteria	Bacteroidetes	Chlorobia	Chlorobiales	Chlorobiaceae	unclassified_Chlorobiaceae	-4.755167417	2.461538462	medium	Other
Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	unclassified_Chloroplast	unclassified_Chloroplast	-4.003611568	1.358410554	specialist	Other
Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast	Mychonastes homosphaera	Mychonastes homosphaera	-4.614021012	3.266666667	medium	Other
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Chromatium	-3.458709482	1.45163456	medium	Other
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Lamprocystis	-3.50083649	1.911053627	medium	Other
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiodictyon	-2.326089598	3.226360181	medium	Other
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiocystis	-3.277807751	3.243309649	medium	Other
Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	LD29	-3.203186711	2.491265905	medium	Other
Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Terrimicrobiaceae	Terrimicrobium	-1.757426683	2.709311312	medium	Other
Bacteria	Cloacimonetes	Cloacimonadia	Cloacimonadales	MSBL8	uncultured organism	-3.43535151	1.924104757	medium	Other
Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae R-7 group	-3.783897408	1.369933097	specialist	Other
Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	uncultured	-4.886094051	1.470588235	medium	Other
Bacteria	Firmicutes	Clostridia	Clostridiales	Family XIII	Anaerovorax	-4.144691985	1.880694143	medium	Other
Bacteria	Firmicutes	Clostridia	Clostridiales	TC1	Clostridiales bacterium enrichment culture clone 2z-3	-3.434346982	1.890625	medium	Other
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium	-4.193283815	2.281191806	medium	Other
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	unclassified_Ruminococcaceae	-3.418004812	2.319200276	medium	Other
Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnoclostridium	-4.438497316	2.333333333	medium	Other
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ercella	-3.858201215	2.416438356	medium	Other
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium 1	-3.993276127	2.503703704	medium	Other
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-010	-4.656334879	2.777777778	medium	Other
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Saccharofermentans	-4.432715981	2.909090909	medium	Other
Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae UCG-012	-4.105219872	2.919191919	medium	Other
Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium 1	-3.595264664	1.672359551	medium	Other
Bacteria	Chloroflexi	Dehalococcoidia	Dehalococcoidales	uncultured	uncultured soil bacterium	-4.838122289	1.470588235	medium	Other
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfatiferula	-4.30227167	1.820224719	medium	Other
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfocapsa	-2.560423569	2.190675719	medium	Other
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	uncultured archaeon	-3.000495909	2.336623299	medium	Other
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	uncultured	-2.798253196	3.251157159	medium	Other
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	-4.213868673	1.845225027	medium	Other
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfomicrobiaceae	Desulfomicrobium	-4.380750702	2.964912281	medium	Other
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	-2.800505288	2.813362141	medium	Other
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Providencia	-4.560144241	1.470588235	medium	Other
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Dickeya	-4.173854174	2.962085308	medium	Other
Bacteria	Chloroflexi	Dehalococcoidia	ER-E4-17	uncultured Chloroflexi bacterium	uncultured Chloroflexi bacterium	-4.404745415	1.882352941	medium	Other
Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae UCG-004	-3.379022772	2.05854524	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	unclassified_Cryomorphaceae	-4.090824567	1.435133457	medium	Other
Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Crocinitomicaceae	Fluviicola	-3.940505657	2.449760766	medium	Other
Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	hgcI clade	-3.606795641	1.603031721	medium	Other
Bacteria	Actinobacteria	Actinobacteria	Frankiales	Sporichthyaceae	metagenome	-3.514256802	1.969474576	medium	Other
Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured prokaryote	-4.018869651	2.430143014	medium	Other
Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	uncultured	uncultured organism	-4.648825536	2.461538462	medium	Other
Bacteria	Cyanobacteria	Melainabacteria	Gastranaerophilales	Candidatus Melainabacteria bacterium RIFOXYA2_FULL_32_9	Candidatus Melainabacteria bacterium RIFOXYA2_FULL_32_9	-3.903925695	2.362893816	medium	Other
Bacteria	Chloroflexi	Dehalococcoidia	GIF3	Dehalococcoidia bacterium SCGC AB-540-C11	Dehalococcoidia bacterium SCGC AB-540-C11	-3.172443486	1.544615744	medium	Other
Bacteria	Chloroflexi	Dehalococcoidia	GIF3	uncultured Chlorobi bacterium	uncultured Chlorobi bacterium	-3.688045419	2.148890092	medium	Other
Bacteria	Chloroflexi	Dehalococcoidia	GIF3	unclassified_GIF3	unclassified_GIF3	-4.671539774	2.777777778	medium	Other
Bacteria	Chloroflexi	Dehalococcoidia	GIF3	uncultured eubacterium t0.8.f	uncultured eubacterium t0.8.f	-4.343724948	3.266666667	medium	Other
Bacteria	Chloroflexi	Dehalococcoidia	GIF9	AB-539-J10	uncultured Dehalococcoidia bacterium	-3.960830634	1.525065963	medium	Other
Bacteria	Chloroflexi	Dehalococcoidia	GIF9	unclassified_GIF9	unclassified_GIF9	-2.370324525	2.566468085	medium	Other
Bacteria	Chloroflexi	Dehalococcoidia	GIF9	AB-539-J10	unclassified_AB-539-J10	-4.810950525	2.777777778	medium	Other
Bacteria	Patescibacteria	Parcubacteria	GWB1-42-6	unclassified_GWB1-42-6	unclassified_GWB1-42-6	-2.85497493	2.451318784	medium	Other
